Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2009-2010,Round of 16,Tue,2010-02-23,,Stuttgart,1–1,Barcelona,,VfB Arena,Björn Kuipers,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-24,,CSKA Moscow,1–1,Sevilla,,Stadion Luzhniki,Felix Brych,Match Report,Leg 1 of 2
2009-2010,Round of 16,Wed,2010-02-24,,Inter,2–1,Chelsea,,Stadio Giuseppe Meazza,Mejuto González,Match Report,Leg 1 of 2
2009-2010,Round of 16,Tue,2010-03-09,,Fiorentina,3–2,Bayern Munich,,Stadio Artemio Franchi,Undiano Mallenco,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Round of 16,Tue,2010-03-09,,Arsenal,5–0,Porto,,Arsenal Stadium,Frank de Bleeckere,Match Report,Leg 2 of 2; Arsenal won
2009-2010,Round of 16,Wed,2010-03-10,,Real Madrid,1–1,Lyon,,Estadio Santiago Bernabéu,Nicola Rizzoli,Match Report,Leg 2 of 2; Lyon won
2009-2010,Round of 16,Wed,2010-03-10,,Manchester Utd,4–0,Milan,,Old Trafford,Massimo Busacca,Match Report,Leg 2 of 2; Manchester Utd won
2009-2010,Round of 16,Tue,2010-03-16,,Chelsea,0–1,Inter,,Stamford Bridge,Wolfgang Stark,Match Report,Leg 2 of 2; Inter won
2009-2010,Round of 16,Tue,2010-03-16,,Sevilla,1–2,CSKA Moscow,,Estadio Ramón Sánchez Pizjuán,Viktor Kassai,Match Report,Leg 2 of 2; CSKA Moscow won
2009-2010,Round of 16,Wed,2010-03-17,,Bordeaux,2–1,grOlympiacos,,Stade Chaban,Olegário Benquerença,Match Report,Leg 2 of 2; Bordeaux won
2009-2010,Round of 16,Wed,2010-03-17,,Barcelona,4–0,Stuttgart,,Camp Nou,Alain Hamer,Match Report,Leg 2 of 2; Barcelona won
2009-2010,Quarter-finals,Tue,2010-03-30,,Bayern Munich,2–1,Manchester Utd,,Fußball Arena München,Frank de Bleeckere,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Tue,2010-03-30,,Lyon,3–1,Bordeaux,,Stade de Gerland,Felix Brych,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Wed,2010-03-31,,Inter,1–0,CSKA Moscow,,Stadio Giuseppe Meazza,Howard Webb,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Wed,2010-03-31,,Arsenal,2–2,Barcelona,,Arsenal Stadium,Massimo Busacca,Match Report,Leg 1 of 2
2009-2010,Quarter-finals,Tue,2010-04-06,,CSKA Moscow,0–1,Inter,,Stadion Luzhniki,Stéphane Lannoy,Match Report,Leg 2 of 2; Inter won
2009-2010,Quarter-finals,Tue,2010-04-06,,Barcelona,4–1,Arsenal,,Camp Nou,Wolfgang Stark,Match Report,Leg 2 of 2; Barcelona won
2009-2010,Quarter-finals,Wed,2010-04-07,,Bordeaux,1–0,Lyon,,Stade Chaban,Undiano Mallenco,Match Report,Leg 2 of 2; Lyon won
2009-2010,Quarter-finals,Wed,2010-04-07,,Manchester Utd,3–2,Bayern Munich,,Old Trafford,Nicola Rizzoli,Match Report,Leg 2 of 2; Bayern Munich won
2009-2010,Semi-finals,Tue,2010-04-20,,Inter,3–1,Barcelona,,Stadio Giuseppe Meazza,Olegário Benquerença,Match Report,Leg 1 of 2
2009-2010,Semi-finals,Wed,2010-04-21,,Bayern Munich,1–0,Lyon,,Fußball Arena München,Roberto Rosetti,Match Report,Leg 1 of 2
